advertising_id,recency,frequency,monetary
83ca3f0e-1dd7-4f47-870b-05bc85b61b7c,1,150,
2edbb415-825f-4385-a1fb-e09c1165922a,1,46,
b727ec4f-9efb-4fb3-a398-f8fb016f2ff7,1,66,
a6a0a9ad-5203-4103-9010-7bd08f5c30f6,1,133,
285c2a8e-c6ef-463c-b721-414c49ac11df,1,100,
9125791f-57bf-42ee-9253-ce5fc8687eb0,1,71,
be746a4f-adc6-497d-81f3-befaeed201c3,1,151,
809850fa-74f3-4286-a695-935f727c3d35,1,83,
66d0cacf-6a9f-4ad0-b355-f77238dbb827,1,144,
ac502a29-a3f6-4aac-b1b4-baa9834ecf9c,1,63,
8292f81e-2019-42ce-82ba-4d86a8b3e1b1,1,54,
cbb37533-8206-480b-9719-d0d4bc0ea167,1,108,
